Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKatt,CrdY,CrdR
380,Ethan Nwaneri,eng ENG,FW,Arsenal,15,2007,1,0,1,0.0,0,0,0,0,0,0,0,0
381,Christian Nørgaard,dk DEN,MF,Brentford,28,1994,22,21,"1,763",19.6,1,3,4,1,0,0,6,0
382,Lewis O'Brien,eng ENG,MF,Nott'ham Forest,23,1998,13,6,584,6.5,1,0,1,1,0,0,2,0
383,Odeluga Offiah,eng ENG,DF,Brighton,19,2002,2,0,25,0.3,0,0,0,0,0,0,0,0
384,Angelo Ogbonna,it ITA,DF,West Ham,34,1988,16,13,"1,237",13.7,0,0,0,0,0,0,0,0
385,Michael Olise,fr FRA,"FW,MF",Crystal Palace,20,2001,37,31,"2,749",30.5,2,11,13,2,0,0,2,0
386,Robin Olsen,se SWE,GK,Aston Villa,32,1990,4,2,281,3.1,0,0,0,0,0,0,0,0
387,Amadou Onana,be BEL,MF,Everton,20,2001,33,29,"2,488",27.6,1,2,3,1,0,0,9,0
388,Josh Onomah,eng ENG,MF,Fulham,25,1997,2,0,15,0.2,0,0,0,0,0,0,0,0
389,Paul Onuachu,ng NGA,FW,Southampton,28,1994,11,4,407,4.5,0,0,0,0,0,0,0,0
390,Frank Onyeka,ng NGA,MF,Brentford,24,1998,21,8,848,9.4,0,2,2,0,0,0,0,0
391,Mislav Oršić,hr CRO,MF,Southampton,29,1992,1,0,7,0.1,0,0,0,0,0,0,0,0
392,Stefan Ortega,de GER,GK,Manchester City,29,1992,3,3,270,3.0,0,0,0,0,0,0,0,0
393,Dango Ouattara,bf BFA,"MF,FW",Bournemouth,20,2002,19,15,"1,241",13.8,1,3,4,1,0,0,1,0
394,Alex Oxlade-Chamberlain,eng ENG,"FW,MF",Liverpool,28,1993,9,4,335,3.7,1,0,1,1,0,0,0,0
395,David Ozoh,eng ENG,FW,Crystal Palace,17,2005,1,0,1,0.0,0,0,0,0,0,0,0,0
396,João Palhinha,pt POR,MF,Fulham,27,1995,35,35,"3,108",34.5,3,0,3,3,0,0,14,0
397,Cole Palmer,eng ENG,"MF,FW",Manchester City,20,2002,14,2,370,4.1,0,1,1,0,0,0,1,0
398,Emerson Palmieri,it ITA,DF,West Ham,27,1994,22,16,"1,320",14.7,1,0,1,1,0,0,2,0
399,Lucas Paquetá,br BRA,MF,West Ham,24,1997,28,27,"2,151",23.9,4,3,7,3,1,1,5,0
400,Thomas Partey,gh GHA,MF,Arsenal,29,1993,33,28,"2,483",27.6,3,0,3,3,0,0,5,0
401,Nathan Patterson,sct SCO,"DF,MF",Everton,20,2001,19,14,"1,279",14.2,0,0,0,0,0,0,3,0
402,Ben Pearson,eng ENG,MF,Bournemouth,27,1995,7,3,286,3.2,0,0,0,0,0,0,1,0
403,Facundo Pellistri,uy URU,"FW,MF",Manchester Utd,20,2001,4,0,64,0.7,0,0,0,0,0,0,0,0
404,Andreas Pereira,br BRA,MF,Fulham,26,1996,33,33,"2,692",29.9,4,6,10,3,1,1,8,0
405,Ricardo Pereira,pt POR,"DF,MF",Leicester City,28,1993,10,5,454,5.0,1,1,2,1,0,0,2,0
406,Ayoze Pérez,es ESP,"MF,FW",Leicester City,29,1993,8,3,382,4.2,0,1,1,0,0,0,0,0
407,Ivan Perišić,hr CRO,"DF,MF",Tottenham,33,1989,34,23,"2,108",23.4,1,8,9,1,0,0,6,0
408,Romain Perraud,fr FRA,DF,Southampton,24,1997,29,22,"1,835",20.4,2,2,4,2,0,0,4,0
409,Máximo Perrone,ar ARG,MF,Manchester City,19,2003,1,0,19,0.2,0,0,0,0,0,0,0,0
410,Cameron Peupion,au AUS,MF,Brighton,19,2002,1,0,6,0.1,0,0,0,0,0,0,0,0
411,Kalvin Phillips,eng ENG,MF,Manchester City,26,1995,12,2,300,3.3,0,0,0,0,0,0,1,0
412,Nathaniel Phillips,eng ENG,DF,Liverpool,25,1997,2,1,66,0.7,0,0,0,0,0,0,0,0
413,Jordan Pickford,eng ENG,GK,Everton,28,1994,37,37,"3,330",37.0,0,1,1,0,0,0,6,0
414,Ethan Pinnock,jm JAM,DF,Brentford,29,1993,30,30,"2,700",30.0,3,0,3,3,0,0,0,0
415,Daniel Podence,pt POR,"FW,MF",Wolves,26,1995,32,20,"1,771",19.7,6,0,6,6,0,0,5,0
416,Nick Pope,eng ENG,GK,Newcastle Utd,30,1992,37,37,"3,261",36.2,0,0,0,0,0,0,3,1
417,Pedro Porro,es ESP,"DF,MF",Tottenham,22,1999,15,13,"1,131",12.6,3,3,6,3,0,0,0,0
418,Dennis Praet,be BEL,"MF,FW",Leicester City,28,1994,22,6,649,7.2,1,0,1,1,0,0,1,0
419,Isaac Price,nir NIR,MF,Everton,18,2003,1,0,33,0.4,0,0,0,0,0,0,1,0
420,Christian Pulisic,us USA,"FW,DF",Chelsea,23,1998,24,8,821,9.1,1,1,2,1,0,0,1,0
421,Aaron Ramsdale,eng ENG,GK,Arsenal,24,1998,38,38,"3,420",38.0,0,0,0,0,0,0,1,0
422,Jacob Ramsey,eng ENG,"MF,FW",Aston Villa,21,2001,35,31,"2,636",29.3,6,7,13,6,0,0,5,0
423,Marcus Rashford,eng ENG,FW,Manchester Utd,24,1997,35,32,"2,879",32.0,17,5,22,17,0,0,2,0
424,David Raya,es ESP,GK,Brentford,26,1995,38,38,"3,420",38.0,0,0,0,0,0,0,1,0
425,Tim Ream,us USA,DF,Fulham,34,1987,33,33,"2,897",32.2,1,0,1,1,0,0,2,0
426,Nathan Redmond,eng ENG,DF,Southampton,28,1994,1,0,1,0.0,0,0,0,0,0,0,0,0
427,Harrison Reed,eng ENG,MF,Fulham,27,1995,37,35,"2,866",31.8,3,4,7,3,0,0,5,0
428,Bobby Reid,jm JAM,"FW,DF",Fulham,29,1993,36,29,"2,475",27.5,4,1,5,4,0,0,8,0
429,Declan Rice,eng ENG,MF,West Ham,23,1999,37,36,"3,273",36.4,4,1,5,4,0,1,5,0
430,Chris Richards,us USA,DF,Crystal Palace,22,2000,9,4,447,5.0,0,0,0,0,0,0,0,0
431,Richarlison,br BRA,"MF,FW",Tottenham,25,1997,27,12,"1,010",11.2,1,3,4,1,0,0,3,0
432,Jaïro Riedewald,nl NED,"DF,MF",Crystal Palace,25,1996,6,0,64,0.7,0,0,0,0,0,0,0,0
433,Matt Ritchie,sct SCO,"FW,MF",Newcastle Utd,32,1989,7,0,39,0.4,0,0,0,0,0,0,0,0
434,Andrew Robertson,sct SCO,DF,Liverpool,28,1994,34,29,"2,583",28.7,0,8,8,0,0,0,3,0
435,Antonee Robinson,us USA,DF,Fulham,24,1997,35,35,"3,088",34.3,0,1,1,0,0,0,8,0
436,Joel Robles,es ESP,GK,Leeds United,32,1990,4,4,360,4.0,0,0,0,0,0,0,1,0
437,Marc Roca,es ESP,MF,Leeds United,25,1996,32,29,"2,315",25.7,1,2,3,1,0,0,7,0
438,Marek Rodák,sk SVK,GK,Fulham,25,1996,2,2,180,2.0,0,0,0,0,0,0,0,0
439,Rodri,es ESP,MF,Manchester City,26,1996,36,34,"2,911",32.3,2,6,8,2,0,0,5,0
440,Rodrigo,es ESP,"FW,MF",Leeds United,31,1991,31,23,"1,935",21.5,13,1,14,12,1,1,6,0
441,Mads Roerslev,dk DEN,DF,Brentford,23,1999,20,12,"1,108",12.3,0,0,0,0,0,0,0,0
442,Cristian Romero,ar ARG,DF,Tottenham,24,1998,27,26,"2,364",26.3,0,1,1,0,0,0,11,1
443,Oriol Romeu,es ESP,MF,Southampton,30,1991,1,1,74,0.8,0,0,0,0,0,0,0,0
444,Cristiano Ronaldo,pt POR,FW,Manchester Utd,37,1985,10,4,525,5.8,1,0,1,1,0,0,2,0
445,Connor Ronan,ie IRL,MF,Wolves,24,1998,1,0,1,0.0,0,0,0,0,0,0,0,0
446,Salomón Rondón,ve VEN,FW,Everton,32,1989,7,1,109,1.2,0,0,0,0,0,0,0,0
447,Joe Rothwell,eng ENG,MF,Bournemouth,27,1995,20,12,"1,016",11.3,0,1,1,0,0,0,1,0
448,Georginio Rutter,fr FRA,"FW,MF",Leeds United,20,2002,11,1,273,3.0,0,1,1,0,0,0,0,0
449,José Sá,pt POR,GK,Wolves,29,1993,36,36,"3,240",36.0,0,0,0,0,0,0,2,0
450,Marcel Sabitzer,at AUT,MF,Manchester Utd,28,1994,11,7,627,7.0,0,1,1,0,0,0,1,0
451,Allan Saint-Maximin,fr FRA,FW,Newcastle Utd,25,1997,25,12,"1,120",12.4,1,5,6,1,0,0,1,0
452,Bukayo Saka,eng ENG,FW,Arsenal,20,2001,38,37,"3,181",35.3,14,11,25,12,2,3,6,0
453,Mohamed Salah,eg EGY,FW,Liverpool,30,1992,38,37,"3,290",36.6,19,12,31,17,2,4,2,0
454,William Saliba,fr FRA,DF,Arsenal,21,2001,27,27,"2,415",26.8,2,1,3,2,0,0,4,0
455,Mohammed Salisu,gh GHA,DF,Southampton,23,1999,22,21,"1,973",21.9,0,1,1,0,0,0,5,0
456,Albert Sambi Lokonga,be BEL,MF,Arsenal,22,1999,6,2,198,2.2,0,0,0,0,0,0,0,0
457,Albert Sambi Lokonga,be BEL,MF,Crystal Palace,22,1999,9,6,536,6.0,0,0,0,0,0,0,2,0
458,Davinson Sánchez,co COL,DF,Tottenham,26,1996,18,8,858,9.5,0,0,0,0,0,0,1,0
459,Robert Sánchez,es ESP,GK,Brighton,24,1997,23,23,"2,070",23.0,0,0,0,0,0,0,2,0
460,Jadon Sancho,eng ENG,"FW,MF",Manchester Utd,22,2000,26,21,"1,686",18.7,6,3,9,6,0,0,0,0
461,Morgan Sanson,fr FRA,MF,Aston Villa,27,1994,2,0,11,0.1,0,0,0,0,0,0,0,0
462,Pablo Sarabia,es ESP,"FW,MF",Wolves,30,1992,13,9,765,8.5,1,0,1,1,0,0,3,0
463,Jeremy Sarmiento,ec ECU,MF,Brighton,20,2002,9,1,176,2.0,0,1,1,0,0,0,1,0
464,Gianluca Scamacca,it ITA,FW,West Ham,23,1999,16,11,926,10.3,3,0,3,3,0,0,3,0
465,Gustavo Scarpa,br BRA,"MF,FW",Nott'ham Forest,28,1994,6,2,181,2.0,0,0,0,0,0,0,1,0
466,Kevin Schade,de GER,FW,Brentford,20,2001,18,7,732,8.1,0,1,1,0,0,0,2,0
467,Fabian Schär,ch SUI,DF,Newcastle Utd,30,1991,36,36,"3,206",35.6,1,3,4,1,0,0,7,0
468,Jeffrey Schlupp,gh GHA,"MF,FW",Crystal Palace,29,1992,34,30,"2,531",28.1,3,1,4,3,0,0,7,0
469,Nélson Semedo,pt POR,DF,Wolves,28,1993,36,31,"2,632",29.2,0,1,1,0,0,0,11,1
470,Antoine Semenyo,gh GHA,"FW,MF",Bournemouth,22,2000,11,2,258,2.9,1,0,1,1,0,0,0,0
471,Marcos Senesi,ar ARG,DF,Bournemouth,25,1997,31,29,"2,491",27.7,2,0,2,2,0,0,7,0
472,Ryan Sessegnon,eng ENG,DF,Tottenham,22,2000,17,9,813,9.0,2,0,2,2,0,0,4,0
473,Luke Shaw,eng ENG,DF,Manchester Utd,27,1995,31,30,"2,552",28.4,1,2,3,1,0,0,8,0
474,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,30,1992,3,0,37,0.4,0,0,0,0,0,0,0,0
475,Jonjo Shelvey,eng ENG,MF,Nott'ham Forest,30,1992,8,6,540,6.0,0,0,0,0,0,0,2,0
476,Bernardo Silva,pt POR,"MF,FW",Manchester City,27,1994,34,24,"2,205",24.5,4,5,9,4,0,0,5,0
477,Thiago Silva,br BRA,DF,Chelsea,37,1984,27,26,"2,352",26.1,0,2,2,0,0,0,2,0
478,Ellis Simms,eng ENG,FW,Everton,21,2001,11,2,228,2.5,1,0,1,1,0,0,0,0
479,Luis Sinisterra,co COL,FW,Leeds United,23,1999,19,13,867,9.6,5,0,5,5,0,0,3,1
480,Oliver Skipp,eng ENG,MF,Tottenham,21,2000,23,18,"1,491",16.6,1,0,1,1,0,0,7,0
481,Adam Smith,eng ENG,DF,Bournemouth,31,1991,37,34,"2,943",32.7,0,1,1,0,0,0,11,0
482,Emile Smith Rowe,eng ENG,"MF,FW",Arsenal,22,2000,12,0,172,1.9,0,2,2,0,0,0,0,0
483,Cédric Soares,pt POR,DF,Arsenal,30,1991,2,0,29,0.3,0,0,0,0,0,0,0,0
484,Cédric Soares,pt POR,DF,Fulham,30,1991,6,2,198,2.2,0,0,0,0,0,0,0,0
485,Dominic Solanke,eng ENG,"FW,MF",Bournemouth,24,1997,33,32,"2,860",31.8,6,7,13,6,0,0,2,0
486,Manor Solomon,il ISR,FW,Fulham,23,1999,19,4,572,6.4,4,0,4,4,0,0,0,0
487,Tomáš Souček,cz CZE,MF,West Ham,27,1995,36,32,"2,815",31.3,2,3,5,2,0,0,3,0
488,Boubakary Soumaré,fr FRA,MF,Leicester City,23,1999,26,20,"1,629",18.1,0,0,0,0,0,0,9,0
489,Harry Souttar,au AUS,DF,Leicester City,23,1998,12,11,992,11.0,0,1,1,0,0,0,2,0
490,Çağlar Söyüncü,tr TUR,DF,Leicester City,26,1996,7,6,529,5.9,1,0,1,1,0,0,2,0
491,Djed Spence,eng ENG,"FW,DF",Tottenham,21,2000,4,0,7,0.1,0,0,0,0,0,0,0,0
492,Jack Stacey,eng ENG,DF,Bournemouth,26,1996,10,3,299,3.3,0,0,0,0,0,0,2,0
493,Junior Stanislas,eng ENG,MF,Bournemouth,32,1989,4,0,61,0.7,0,0,0,0,0,0,0,0
494,Jay Stansfield,eng ENG,FW,Fulham,19,2002,3,1,87,1.0,0,0,0,0,0,0,0,0
495,Jason Steele,eng ENG,GK,Brighton,31,1990,15,15,"1,350",15.0,0,1,1,0,0,0,1,0
496,Jack Stephens,eng ENG,DF,Southampton,28,1994,2,0,46,0.5,0,0,0,0,0,0,0,0
497,Jack Stephens,eng ENG,DF,Bournemouth,28,1994,15,13,"1,173",13.0,0,0,0,0,0,0,3,0
498,Raheem Sterling,eng ENG,"FW,MF",Chelsea,27,1994,28,23,"1,891",21.0,6,3,9,6,0,0,4,0
499,John Stones,eng ENG,"DF,MF",Manchester City,28,1994,23,21,"1,846",20.5,2,2,4,2,0,0,2,0
500,Pascal Struijk,nl NED,DF,Leeds United,22,1999,29,26,"2,200",24.4,2,1,3,2,0,0,5,0
501,Kamaldeen Sulemana,gh GHA,"FW,MF",Southampton,20,2002,18,10,966,10.7,2,1,3,2,0,0,1,0
502,Crysencio Summerville,nl NED,FW,Leeds United,20,2001,28,12,"1,426",15.8,4,2,6,4,0,0,4,0
503,Sam Surridge,eng ENG,FW,Nott'ham Forest,24,1998,20,1,323,3.6,1,0,1,1,0,0,2,0
504,Japhet Tanganga,eng ENG,DF,Tottenham,23,1999,4,2,146,1.6,0,0,0,0,0,0,0,0
505,Matt Targett,eng ENG,DF,Newcastle Utd,26,1995,17,6,610,6.8,0,0,0,0,0,0,1,0
506,James Tarkowski,eng ENG,DF,Everton,29,1992,38,38,"3,420",38.0,1,1,2,1,0,0,6,0
507,Marcus Tavernier,eng ENG,"MF,FW",Bournemouth,23,1999,23,19,"1,743",19.4,5,4,9,5,0,0,1,0
508,Tetê,br BRA,FW,Leicester City,22,2000,13,9,734,8.2,1,0,1,1,0,0,0,0
509,Kenny Tete,nl NED,DF,Fulham,26,1995,31,29,"2,569",28.5,1,5,6,1,0,0,8,0
510,Luke Thomas,eng ENG,DF,Leicester City,21,2001,17,11,"1,073",11.9,0,0,0,0,0,0,3,0
511,Youri Tielemans,be BEL,MF,Leicester City,25,1997,31,27,"2,344",26.0,3,2,5,2,1,2,4,0
512,Kieran Tierney,sct SCO,DF,Arsenal,25,1997,27,6,795,8.8,0,1,1,0,0,0,0,0
513,Harry Toffolo,eng ENG,DF,Nott'ham Forest,26,1995,19,9,940,10.4,0,0,0,0,0,0,2,0
514,Takehiro Tomiyasu,jp JPN,DF,Arsenal,23,1998,21,6,663,7.4,0,1,1,0,0,0,2,0
515,James Tomkins,eng ENG,DF,Crystal Palace,33,1989,6,3,338,3.8,1,0,1,1,0,0,3,1
516,Ivan Toney,eng ENG,FW,Brentford,26,1996,33,33,"2,951",32.8,20,4,24,14,6,7,9,0
517,Adama Traoré,es ESP,"FW,MF",Wolves,26,1996,34,12,"1,496",16.6,2,1,3,2,0,0,2,0
518,Bertrand Traoré,bf BFA,"FW,MF",Aston Villa,26,1995,8,1,233,2.6,2,0,2,2,0,0,1,0
519,Boubacar Traoré,ml MLI,MF,Wolves,20,2001,10,4,411,4.6,0,1,1,0,0,0,2,0
520,Mark Travers,ie IRL,GK,Bournemouth,23,1999,12,11,"1,035",11.5,0,0,0,0,0,0,0,0
521,Kieran Trippier,eng ENG,DF,Newcastle Utd,31,1990,38,38,"3,341",37.1,1,7,8,1,0,0,5,0
522,Leandro Trossard,be BEL,FW,Arsenal,27,1994,20,10,931,10.3,1,10,11,1,0,0,0,0
523,Leandro Trossard,be BEL,"FW,MF",Brighton,27,1994,16,16,"1,315",14.6,7,2,9,7,0,0,1,0
524,Kostas Tsimikas,gr GRE,DF,Liverpool,26,1996,20,9,771,8.6,0,4,4,0,0,0,3,0
525,Deniz Undav,de GER,"FW,MF",Brighton,26,1996,22,6,628,7.0,5,0,5,5,0,0,2,0
526,Yan Valery,tn TUN,DF,Southampton,23,1999,1,1,45,0.5,0,0,0,0,0,0,0,0
527,Virgil van Dijk,nl NED,DF,Liverpool,31,1991,32,32,"2,835",31.5,3,1,4,3,0,0,3,0
528,Raphaël Varane,fr FRA,DF,Manchester Utd,29,1993,24,22,"1,911",21.2,0,0,0,0,0,0,1,0
529,Jamie Vardy,eng ENG,FW,Leicester City,35,1987,37,19,"1,857",20.6,3,4,7,3,0,1,1,0
530,Joël Veltman,nl NED,DF,Brighton,30,1992,31,25,"2,188",24.3,1,1,2,1,0,0,6,0
531,Fabio Vieira,pt POR,"MF,FW",Arsenal,22,2000,22,3,514,5.7,1,2,3,1,0,0,0,0
532,Matías Viña,uy URU,DF,Bournemouth,24,1997,12,5,458,5.1,2,0,2,2,0,0,1,0
533,Rúben Vinagre,pt POR,"DF,MF",Everton,23,1999,2,0,26,0.3,0,0,0,0,0,0,0,0
534,Carlos Vinícius,br BRA,FW,Fulham,27,1995,28,11,"1,109",12.3,5,2,7,5,0,0,3,0
535,Theo Walcott,eng ENG,"FW,MF",Southampton,33,1989,20,13,"1,129",12.5,2,2,4,2,0,0,1,0
536,Kyle Walker,eng ENG,DF,Manchester City,32,1990,27,22,"1,958",21.8,0,0,0,0,0,0,3,0
537,Kyle Walker-Peters,eng ENG,DF,Southampton,25,1997,31,30,"2,650",29.4,1,0,1,1,0,0,4,0
538,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,24,1997,19,16,"1,435",15.9,0,0,0,0,0,0,2,0
539,Danny Ward,wls WAL,GK,Leicester City,29,1993,26,26,"2,340",26.0,0,0,0,0,0,0,0,0
540,Joel Ward,eng ENG,DF,Crystal Palace,32,1989,28,24,"2,256",25.1,1,0,1,1,0,0,6,0
541,James Ward-Prowse,eng ENG,MF,Southampton,27,1994,38,38,"3,371",37.5,9,4,13,7,2,4,6,0
542,Ollie Watkins,eng ENG,FW,Aston Villa,26,1995,37,36,"3,127",34.7,15,6,21,14,1,2,4,0
543,Adam Webster,eng ENG,DF,Brighton,27,1995,27,23,"1,985",22.1,0,0,0,0,0,0,2,0
544,Wout Weghorst,nl NED,"FW,MF",Manchester Utd,29,1992,17,10,797,8.9,0,1,1,0,0,0,1,0
545,Danny Welbeck,eng ENG,FW,Brighton,31,1990,31,21,"1,854",20.6,6,3,9,6,0,0,0,0
546,Ben White,eng ENG,DF,Arsenal,24,1997,38,36,"3,055",33.9,2,5,7,2,0,0,5,0
547,Harvey White,eng ENG,MF,Tottenham,20,2001,1,0,5,0.1,0,0,0,0,0,0,0,0
548,Joseph Whitworth,eng ENG,GK,Crystal Palace,18,2004,2,2,180,2.0,0,0,0,0,0,0,0,0
549,Neco Williams,wls WAL,DF,Nott'ham Forest,21,2001,31,20,"1,882",20.9,1,0,1,1,0,0,7,0
550,Willian,br BRA,FW,Fulham,33,1988,27,25,"2,126",23.6,5,5,10,5,0,0,2,0
551,Joe Willock,eng ENG,MF,Newcastle Utd,22,1999,35,31,"2,558",28.4,3,6,9,3,0,0,1,0
552,Callum Wilson,eng ENG,FW,Newcastle Utd,30,1992,31,21,"1,877",20.9,18,5,23,15,3,3,4,0
553,Harry Wilson,wls WAL,FW,Fulham,25,1997,29,13,"1,100",12.2,2,3,5,2,0,0,1,0
554,Yoane Wissa,cd COD,FW,Brentford,25,1996,38,16,"1,606",17.8,7,3,10,7,0,0,3,0
555,Maximilian Wöber,at AUT,DF,Leeds United,24,1998,16,14,"1,266",14.1,0,0,0,0,0,0,3,0
556,Chris Wood,nz NZL,FW,Newcastle Utd,30,1991,18,4,446,5.0,2,0,2,1,1,1,0,0
557,Chris Wood,nz NZL,FW,Nott'ham Forest,30,1991,7,5,372,4.1,1,0,1,1,0,0,0,0
558,Joe Worrall,eng ENG,DF,Nott'ham Forest,25,1997,30,21,"2,224",24.7,1,0,1,1,0,0,6,0
559,Granit Xhaka,ch SUI,MF,Arsenal,29,1992,37,36,"2,993",33.3,7,7,14,7,0,0,4,0
560,Ryan Yates,eng ENG,MF,Nott'ham Forest,24,1997,26,21,"1,837",20.4,0,2,2,0,0,0,5,0
561,Ashley Young,eng ENG,DF,Aston Villa,37,1985,29,23,"2,036",22.6,1,0,1,1,0,0,7,0
562,Illia Zabarnyi,ua UKR,DF,Bournemouth,19,2002,5,3,299,3.3,0,0,0,0,0,0,0,0
563,Wilfried Zaha,ci CIV,"FW,MF",Crystal Palace,29,1992,27,27,"2,288",25.4,7,2,9,7,0,2,5,0
564,Denis Zakaria,ch SUI,MF,Chelsea,25,1996,7,5,411,4.6,0,0,0,0,0,0,0,0
565,Jordan Zemura,zw ZIM,DF,Bournemouth,22,1999,19,17,"1,454",16.2,0,1,1,0,0,0,1,0
566,Oleksandr Zinchenko,ua UKR,DF,Arsenal,25,1996,27,26,"2,118",23.5,1,2,3,1,0,0,3,0
567,Hakim Ziyech,ma MAR,"FW,MF",Chelsea,29,1993,18,6,661,7.3,0,3,3,0,0,0,1,0
568,Kurt Zouma,fr FRA,DF,West Ham,27,1994,25,24,"1,989",22.1,2,0,2,2,0,0,0,0
569,Martin Ødegaard,no NOR,MF,Arsenal,23,1998,37,37,"3,127",34.7,15,7,22,15,0,0,4,0